description,SRR11735465,SRR11735466,SRR11735467,SRR11735468,SRR11735469,SRR11735471,SRR11735472,SRR11735473,SRR11735474,SRR11735475,SRR11735476,SRR11735477,SRR11735478,SRR11735479,SRR11735480,SRR11735481,SRR11735482,SRR11735483,SRR11735484,SRR11735485,SRR11735486,SRR11735487,SRR11735488,SRR11735489,SRR11735490,SRR11735491,SRR11735492,SRR11735493,SRR11735494,SRR11735495,SRR11735496,SRR11735497,SRR11735498,SRR11735499,SRR11735500,SRR11735501,SRR11735502,SRR11735504,SRR11735505,SRR11735506,SRR5136859,SRR5136860,SRR5136861,SRR5136862,SRR5136863,SRR5136864,SRR5136865,SRR5136866,SRR5136867,SRR5136868,SRR5136869,SRR5136870,SRR5136871,SRR5136872,SRR5136873,SRR5136874,SRR5136875,SRR5136876,SRR17519993,SRR17519994,SRR17519995,SRR17519996,SRR17519997,SRR17519998,SRR17519999,SRR17520001,SRR17520002,SRR17520003,SRR17520004,SRR17520005,SRR17520006,SRR17520007,SRR17520008,SRR17520009,SRR17520010,SRR17520011,SRR17520012,SRR17520013,SRR17520014,SRR17520015,SRR17520016,SRR17520017,SRR17520018,SRR17520019,SRR17520020,SRR17520021,SRR17520022,SRR17520023,SRR17520024,SRR17520025,SRR17520026,SRR17520027,SRR17520029,SRR17520030,SRR17520031,SRR17520032,SRR17520033,SRR17520034,SRR17520035,SRR17520036,SRR17520037,SRR17520038,SRR17520039,SRR17520040,SRR17520041,SRR17520042,SRR17520043,SRR17520044,SRR17520045,SRR17520046,SRR17520047,SRR17520048,SRR17520049,SRR17520050,SRR17520051,SRR17520052,SRR17520053,SRR17520054,SRR17520055,SRR17520056,SRR17520057,SRR17520058,SRR17520059,SRR17520060,SRR17520061,SRR17520062,SRR17520063,SRR17520064,SRR17520065,SRR17520066,SRR17520067,SRR17520068,SRR10120013.fastq,SRR10120014.fastq,SRR10120015.fastq,SRR10120016.fastq,SRR10120017.fastq,SRR10120018.fastq,SRR10120019.fastq,SRR10120020.fastq,SRR10120021.fastq,SRR10120022.fastq,SRR10120023.fastq,SRR10120024.fastq,SRR10120025.fastq,SRR10120026.fastq,SRR10120027.fastq,SRR10120028.fastq,SRR10120029.fastq,SRR10120030.fastq,SRR10120031.fastq,SRR10120032.fastq,SRR10120033.fastq,SRR10120034.fastq,SRR10120035.fastq,SRR10120036.fastq,SRR10120037.fastq,SRR10120038.fastq,SRR10120039.fastq,SRR10120040.fastq,SRR10120041.fastq,SRR10120042.fastq,SRR10120043.fastq,SRR10120044.fastq,SRR10120045.fastq,SRR10120046.fastq,SRR10120047.fastq,SRR10120048.fastq,SRR10120049.fastq,SRR10120050.fastq,SRR10120051.fastq,SRR10120052.fastq,SRR10120053.fastq,SRR10120054.fastq,SRR10120055.fastq,SRR10120056.fastq,SRR10120057.fastq,SRR10120058.fastq,SRR10120059.fastq,SRR10120060.fastq,SRR10120061.fastq,SRR10120062.fastq,SRR10120063.fastq,SRR10120064.fastq,SRR10120065.fastq,SRR10120066.fastq,SRR10120067.fastq,SRR10120068.fastq,SRR10120069.fastq,SRR10120070.fastq,SRR10120071.fastq,SRR10120072.fastq,SRR10120073.fastq,SRR10120074.fastq,SRR10120075.fastq,SRR10120076.fastq,SRR10120077.fastq,SRR10120078.fastq,SRR10120079.fastq,SRR10120080.fastq,SRR10120081.fastq,SRR10120082.fastq,SRR10120083.fastq,SRR10120084.fastq,SRR10120085.fastq,SRR10120087.fastq,SRR10120088.fastq,SRR10120089.fastq,SRR10120090.fastq,SRR10120091.fastq,SRR10120092.fastq,SRR10120093.fastq,SRR10120094.fastq,SRR10120095.fastq,SRR10120096.fastq,SRR10120097.fastq,SRR10120098.fastq,SRR10120099.fastq,SRR10120100.fastq,SRR10120101.fastq,SRR10120102.fastq,SRR10120103.fastq,SRR10120104.fastq,SRR10120105.fastq,SRR10120106.fastq,SRR10120107.fastq,SRR10120108.fastq,SRR10120109.fastq,SRR10120110.fastq,SRR10120111.fastq,SRR10120112.fastq,SRR10120113.fastq,SRR10120114.fastq,SRR10120115.fastq,SRR10120116.fastq,SRR10120117.fastq,SRR10120118.fastq,SRR10120119.fastq,SRR10120120.fastq,SRR10120121.fastq,SRR10120122.fastq,SRR10120123.fastq,SRR10120124.fastq,SRR14320148,SRR14320149,SRR14320150,SRR14320151,SRR14320152,SRR14320153,SRR14320154,SRR14320155,SRR14320156,SRR14320157,SRR14320158,SRR14320159,SRR14320160,SRR14320161,SRR14320162,SRR14320163,SRR14320164,SRR14320165,SRR14320166,SRR14320167,SRR14320168,SRR14320169,SRR14320170,SRR14320171,SRR14320172,SRR14320173,SRR14320174,SRR14320175,SRR14320176,SRR14320177,SRR14320178,SRR14320179,SRR14320180,SRR14320181,SRR14320182,SRR14320183,SRR14320184,SRR14320185,SRR14320186,SRR14320187,SRR14320188,SRR14320189,SRR14320190,SRR14320191,SRR14320192,SRR14320193,SRR14320194,SRR14320195,SRR14320196,SRR14320197,SRR14320198,SRR14320199,SRR14320200,SRR14320201,SRR14320202,SRR14320203,SRR14320204,SRR14320205,SRR14320206,SRR14320207,SRR14320208,SRR14320209,SRR14320210,SRR14320211,SRR14320212,SRR14320213,SRR14320214,SRR14320215,SRR14320216,SRR14320217,SRR14320218,SRR14320219,SRR14320220,SRR14320221,SRR14320222,SRR14320223,SRR14320224,SRR14320225,SRR14320226,SRR14320227,SRR14320228,SRR14320229,SRR14320230,SRR14320231,SRR14320232,SRR14320233,SRR14320234,SRR14320235,SRR14320236,SRR14320237,SRR14320238,SRR14320239,SRR14320240,SRR14320241,SRR14320242,SRR14320243,SRR14320244,SRR14320245,SRR14320246,SRR14320247,SRR14320248,SRR14320249,SRR14320250,SRR14320251,SRR14320252,SRR14320253,SRR14320254,SRR14320255
glycogen biosynthesis I (from ADP-D-Glucose),7,0,14,0,20,22,16,0,10,24,15,68,0,23,30,50,0,22,25,0,32,11,8,14,18,8,7,0,15,2,0,31,0,6,41,0,18,20,0,3,46,24,39,37,31,31,41,40,33,47,45,43,24,30,19,42,19,51,44,29,26,39,28,39,39,30,28,47,30,26,28,38,63,29,35,48,38,38,49,32,43,35,27,47,51,30,28,30,36,45,29,47,46,38,30,42,34,52,46,27,36,24,38,40,31,32,40,34,26,55,38,27,33,40,63,31,38,39,34,29,38,53,38,26,30,18,38,27,41,20,39,38,52,40,62,34,34,45,37,50,54,63,46,42,45,27,44,34,54,36,46,68,46,35,40,41,54,32,32,26,43,52,49,42,31,48,44,56,62,50,35,52,53,37,48,60,41,19,48,47,46,53,31,45,46,46,46,41,44,42,48,41,51,39,42,33,38,38,54,31,37,44,29,55,39,55,57,31,30,42,54,30,50,39,35,55,47,46,57,48,34,44,53,44,55,51,34,46,43,40,44,38,51,48,45,39,7,31,48,4,47,48,50,39,27,39,39,41,34,36,29,44,24,44,51,33,41,38,32,29,37,30,42,56,40,43,47,42,38,35,19,27,43,42,43,43,23,31,44,41,47,22,34,39,30,37,34,53,47,28,41,48,40,39,50,48,55,46,42,33,37,34,33,39,28,31,46,42,28,48,40,48,33,30,38,64,46,67,40,38,61,50,51,54,50,39,40,59,47,46,20,52,28,31,38,42,40,40,33,41,54,56,39,38,39,39,33,37,40,39,39
glycogen degradation I (bacterial),38,39,22,39,29,44,15,42,25,32,34,3,0,44,33,61,45,48,33,32,37,36,33,28,34,41,30,40,32,35,43,33,43,32,0,24,13,35,52,31,50,26,42,43,37,40,45,43,23,37,36,45,37,28,30,29,37,40,41,43,36,39,32,27,34,42,22,40,38,39,28,34,46,43,47,44,43,28,39,36,62,46,34,39,47,37,44,49,51,33,31,38,51,47,27,24,36,51,43,43,42,35,49,32,31,27,40,27,30,50,33,31,31,35,45,40,39,33,37,27,45,44,41,37,44,25,32,41,46,39,36,51,55,39,49,36,45,36,33,44,62,51,43,42,36,32,39,36,58,24,47,47,38,44,40,44,36,35,34,40,51,29,45,34,30,43,43,43,57,37,39,39,57,45,54,35,29,31,47,46,57,61,13,43,51,41,40,36,57,23,40,43,41,43,34,27,41,36,42,49,46,35,36,52,47,55,48,40,42,44,30,41,59,35,36,44,46,54,52,35,44,51,43,38,44,43,38,33,53,45,41,31,45,31,46,36,6,37,36,13,34,50,53,43,37,35,28,44,50,43,33,42,29,38,56,36,33,45,34,39,44,38,27,48,39,44,64,49,46,30,19,25,40,48,55,49,28,23,32,41,42,37,36,38,35,47,45,40,43,37,40,42,38,45,34,36,51,46,45,28,48,36,40,42,34,29,42,31,30,41,31,35,26,42,37,37,36,52,43,54,42,5,55,42,52,33,54,58,40,46,21,35,43,48,42,49,37,50,45,54,42,52,47,30,39,38,28,36,41,54,37
glycolysis I (from glucose 6-phosphate),54,49,25,32,23,39,26,50,28,41,25,6,0,44,26,24,42,36,35,43,35,25,32,35,24,32,33,33,37,35,44,40,40,27,0,42,20,49,52,30,15,29,21,33,38,19,47,24,25,25,39,24,18,29,20,8,26,20,37,29,29,23,30,20,14,36,24,25,27,25,29,39,8,23,43,30,29,30,32,35,16,27,35,41,28,23,29,20,28,12,29,25,32,36,23,29,23,22,27,32,36,32,26,36,26,21,24,16,32,27,26,30,27,28,23,27,16,26,30,38,26,16,30,28,30,32,36,23,28,34,31,34,37,22,21,36,22,22,40,23,20,31,35,35,37,29,24,29,32,27,33,15,26,33,27,27,33,40,35,38,19,39,35,44,31,41,29,34,14,36,38,41,27,44,26,23,39,29,35,38,30,20,38,31,33,34,24,18,30,33,14,31,18,29,21,31,31,27,23,33,34,37,31,10,35,25,23,21,21,19,39,20,32,37,31,24,26,27,15,32,35,35,28,17,22,28,26,34,26,28,39,32,41,35,29,34,27,26,34,35,20,34,18,26,28,17,33,18,28,30,28,27,39,29,20,24,17,17,30,17,26,33,33,16,22,31,17,28,21,31,30,45,31,32,20,33,35,28,37,27,30,31,25,33,26,19,26,19,38,22,30,27,27,17,38,22,19,32,32,27,35,28,27,35,29,29,27,27,28,10,23,23,28,27,24,20,26,17,14,52,24,34,20,21,34,28,24,20,26,34,26,14,22,17,24,29,27,24,36,24,21,14,32,26,26,29,31,32,30,26,31
glycolysis II (from fructose 6-phosphate),40,38,17,56,34,32,16,32,21,33,29,6,0,42,29,31,42,21,46,43,31,27,37,34,29,38,35,29,31,29,42,34,36,36,0,44,9,36,41,41,19,20,25,27,31,26,44,19,21,28,23,15,11,18,19,8,32,16,31,30,31,29,29,14,7,32,30,27,30,19,35,32,3,28,24,21,17,30,16,32,8,25,26,27,26,24,28,18,21,16,23,21,24,42,23,22,30,20,16,23,31,23,23,34,19,15,19,17,25,33,37,30,22,25,11,29,10,26,25,26,32,14,24,31,11,32,22,26,23,18,28,30,15,17,13,29,20,12,37,18,10,19,41,35,22,10,23,28,35,26,26,24,33,33,19,25,28,34,41,26,9,34,22,28,24,29,15,28,8,31,41,40,7,23,22,26,38,27,44,41,26,23,39,27,31,17,12,18,21,36,13,34,15,34,32,18,23,22,14,38,28,20,38,13,34,31,17,25,21,16,28,30,36,27,32,18,21,24,8,26,27,24,28,16,13,22,28,35,27,39,14,32,42,37,38,29,18,24,32,51,13,25,13,26,39,9,26,13,29,25,9,18,27,16,19,17,22,22,36,20,18,24,40,24,13,15,8,27,21,26,31,33,31,30,10,24,31,24,33,31,18,19,27,24,28,21,22,17,21,31,30,12,23,16,25,23,7,17,34,23,26,20,27,29,25,18,27,28,23,14,29,28,17,21,18,9,19,20,4,28,29,66,16,9,25,34,24,12,25,15,19,6,21,29,11,15,33,32,19,23,14,14,26,21,12,12,26,29,25,16,28
glycolysis III (from glucose),47,40,34,46,27,42,23,35,29,34,37,46,45,36,38,42,41,30,40,36,36,26,44,24,24,31,33,44,44,32,56,43,41,41,41,57,32,37,42,44,46,37,44,33,33,39,34,45,26,35,31,47,31,37,24,52,31,51,35,33,40,38,40,41,50,38,20,44,36,30,32,33,48,39,52,32,48,51,43,39,33,34,44,31,38,30,31,37,38,31,24,44,34,38,32,41,41,36,40,40,40,30,38,40,37,35,31,26,23,42,31,26,32,37,45,36,37,36,36,37,38,36,32,44,42,27,37,40,28,27,36,32,46,48,57,38,36,33,43,35,38,49,37,29,36,34,38,35,51,44,38,42,54,48,36,37,49,27,39,29,43,46,46,52,40,47,47,51,39,25,28,41,39,30,41,38,32,32,44,51,29,42,32,34,48,43,47,52,40,32,49,34,49,47,39,35,45,50,43,31,44,39,46,30,30,37,37,32,29,48,57,35,50,31,43,49,45,50,48,36,25,51,33,35,42,42,31,34,26,42,28,34,42,43,40,41,69,39,39,57,36,39,48,39,40,43,39,40,35,40,37,37,29,26,51,33,23,32,41,28,26,35,47,39,35,32,56,35,31,31,30,42,29,43,48,34,34,26,33,42,37,28,46,37,40,40,38,35,41,30,49,42,29,31,36,35,35,44,39,37,32,37,25,44,35,28,37,33,38,33,26,38,28,31,40,34,38,40,28,30,31,49,38,46,28,29,44,34,32,39,22,41,39,39,45,43,30,35,28,34,41,42,41,43,32,41,31,34,34,41,37
glycolysis V (Pyrococcus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glyoxylate cycle,0,0,3,0,21,6,17,0,10,1,8,0,0,0,0,0,1,0,0,0,7,11,13,6,17,1,17,0,1,1,0,0,0,11,0,0,0,0,0,0,1,8,1,0,2,1,0,2,7,1,0,0,1,6,6,0,0,2,0,0,2,2,8,0,0,0,8,0,7,10,1,3,1,1,0,1,3,0,0,1,0,0,0,0,1,4,2,0,1,0,18,0,0,0,19,0,3,2,1,5,2,5,6,0,11,10,0,2,9,0,0,19,3,1,0,4,1,6,0,19,2,0,1,2,2,18,0,0,11,19,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5,0,0,0,2,6,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,8,6,7,0,1,0,0,13,2,0,0,8,1,0,0,0,0,1,0,0,0,3,2,0,0,7,0,0,2,8,0,0,0,7,0,1,5,0,1,2,0,10,2,0,6,0,5,0,0,0,1,6,0,3,0,0,10,1,0,0,7,3,0,0,12,6,0,1,0,0,3,0,5,3,0,1,0,3,0,1,2,2,13,2,0,7,0,0,0,0,13,2,0,0,0,0,0,0,6,3,0,1,0
guanosine deoxyribonucleotides de novo biosynthesis II,29,42,34,45,43,43,29,35,21,35,34,112,39,46,36,45,61,45,60,40,62,22,26,44,29,45,37,39,35,50,45,46,44,35,52,33,37,39,25,48,29,38,29,37,20,41,33,18,35,36,36,26,17,35,24,12,32,50,35,43,46,39,31,34,36,28,37,33,32,33,32,25,25,33,7,32,20,32,27,36,20,46,20,39,17,33,27,33,25,20,25,41,24,40,27,26,22,20,25,33,32,29,28,33,33,28,24,27,21,16,39,37,35,15,30,39,31,35,37,38,22,44,29,30,28,31,40,38,31,26,31,27,19,29,15,29,59,49,32,23,8,18,35,33,28,41,41,27,36,35,40,19,24,35,41,23,26,21,27,26,24,32,49,49,54,38,31,32,9,23,32,40,12,25,21,38,40,32,34,38,31,10,41,45,31,34,30,26,38,46,28,45,43,23,39,40,42,27,18,30,38,21,49,25,17,16,15,15,31,45,30,23,32,27,33,32,29,27,27,19,42,32,53,36,33,37,59,44,42,41,65,39,48,58,39,26,140,21,21,44,36,21,39,23,33,24,33,24,34,30,32,29,35,49,27,33,25,38,30,37,25,33,42,26,12,19,24,22,28,51,31,35,26,28,25,27,35,28,25,37,25,53,24,32,23,30,31,20,33,32,43,27,35,22,16,34,23,20,28,19,35,26,38,30,17,43,26,28,40,25,30,28,32,36,33,26,34,28,32,18,22,61,25,31,27,27,27,27,39,24,20,18,33,23,23,15,26,30,29,30,15,24,36,32,11,36,35,30,32,19,27
guanosine nucleotides degradation III,0,0,5,0,0,8,0,0,7,2,0,0,0,5,0,21,0,0,0,0,3,1,0,6,0,1,0,0,2,0,41,0,0,0,0,2,0,0,0,2,7,6,10,27,16,4,2,3,16,31,12,8,9,8,17,6,8,14,9,14,0,7,11,15,8,18,11,3,5,8,4,8,12,12,5,14,16,8,7,9,6,8,7,11,9,11,11,13,11,15,3,16,4,9,5,14,13,16,12,7,6,7,9,5,7,9,10,15,8,16,7,10,8,16,8,9,6,9,10,7,11,24,22,7,9,8,6,10,16,11,12,14,5,12,5,10,0,16,8,3,6,4,7,10,16,8,3,7,4,6,4,3,12,12,5,3,10,4,8,10,3,2,8,4,28,5,18,1,1,15,9,1,3,3,21,11,10,1,8,7,9,7,4,10,11,13,13,4,4,3,16,3,6,14,12,4,8,6,2,6,5,11,4,4,7,13,7,12,8,4,9,20,10,7,10,8,3,6,14,5,5,11,24,4,7,7,25,10,6,23,27,5,5,5,7,3,2,8,6,6,6,4,3,6,18,16,10,9,17,8,13,9,26,21,21,24,13,14,15,14,15,6,1,19,15,11,16,9,6,19,16,13,17,17,12,15,26,18,5,13,7,30,15,9,23,18,19,10,6,23,18,24,22,28,20,7,29,6,17,12,20,16,15,9,8,24,15,10,8,11,10,17,13,17,10,7,11,19,19,16,21,0,12,13,10,11,15,20,7,8,17,23,18,17,2,14,8,10,13,9,11,15,4,7,13,14,24,11,12,12,13
guanosine ribonucleotides de novo biosynthesis,29,35,21,38,23,29,20,34,19,28,35,51,43,30,31,37,28,39,20,41,30,30,30,22,22,23,21,43,22,42,48,29,28,23,38,35,34,38,33,28,31,25,36,22,16,35,36,24,15,24,25,44,38,23,23,36,25,36,34,36,31,24,22,40,29,38,36,33,27,22,29,31,34,29,26,27,33,38,33,36,35,31,35,39,36,35,36,34,42,27,36,34,32,48,27,41,26,27,33,24,21,29,24,33,34,27,41,32,18,27,41,24,22,39,43,31,39,19,25,22,36,47,27,35,34,25,35,27,14,24,27,34,33,40,62,36,44,37,43,39,52,35,51,40,35,38,36,19,40,24,34,34,41,30,33,41,36,35,32,30,49,40,34,45,30,33,34,32,60,32,34,41,46,28,35,31,32,33,32,38,45,49,35,30,42,34,40,39,47,33,41,36,36,38,34,41,29,34,41,28,44,30,45,52,32,53,30,43,36,35,46,26,33,46,31,33,38,38,40,35,37,34,22,42,46,45,27,34,40,32,18,35,46,38,39,44,83,32,36,39,34,35,30,39,29,28,34,34,16,40,38,34,29,29,37,20,26,22,35,19,14,27,38,32,35,33,39,45,24,35,39,30,31,20,29,24,31,21,37,28,28,28,29,37,24,31,22,43,25,15,22,30,20,28,29,34,31,45,40,31,26,26,44,31,19,38,41,29,26,30,28,28,20,18,43,28,39,25,38,36,32,56,26,21,33,37,41,33,31,35,27,32,40,17,44,29,38,40,20,25,25,39,29,27,30,25,27,30,37,27,34
heme biosynthesis I (aerobic),0,0,1,0,8,2,5,0,8,2,8,0,0,0,0,0,1,0,0,0,2,4,4,3,13,0,7,0,2,1,0,0,0,6,0,0,0,0,0,4,0,6,2,0,0,0,0,1,6,2,0,0,1,5,8,0,0,1,1,0,0,0,5,0,0,0,2,1,3,3,1,1,0,2,0,1,0,2,0,0,0,1,0,0,0,5,0,0,0,2,3,0,1,0,9,0,2,0,1,4,1,8,0,0,3,5,5,6,1,0,0,6,3,0,1,4,3,3,1,4,1,0,0,0,1,8,0,1,8,7,1,0,0,5,0,0,0,1,3,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,4,1,2,0,1,0,0,4,0,1,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,2,0,4,0,0,12,0,0,0,13,2,1,1,0,0,0,0,0,0,0,11,3,0,4,0,0,3,2,1,0,0,1,1,0,3,0,1,1,0,5,1,1,2,2,3,1,2,1,1,1,0,1,0,0,2,2,0,0,2,3,0,1,11,7,0,0,0,0,1,0,4,1,0,2,0,2,0,2,0,0,9,1,0,2,0,1,0,0,2,2,0,0,1,1,0,0,3,1,1,0,1
heme biosynthesis II (anaerobic),0,0,3,0,17,2,6,0,10,0,4,0,0,0,0,0,2,0,0,0,2,7,11,1,19,2,2,0,2,4,0,0,0,3,0,0,0,0,0,2,0,6,2,0,9,3,16,5,8,12,0,0,1,4,10,1,1,1,0,0,3,0,5,0,0,0,3,6,1,5,10,0,1,5,0,1,3,2,0,0,0,0,0,1,0,15,3,0,0,8,6,0,0,1,7,0,0,3,4,7,2,9,2,0,1,10,4,14,6,1,2,8,9,1,0,3,3,3,0,7,1,0,1,2,3,14,0,0,10,10,2,0,0,1,0,0,5,1,2,0,1,0,0,5,3,5,0,2,1,0,0,0,0,1,2,1,3,1,1,3,0,4,0,1,0,1,0,0,0,4,6,0,0,1,1,2,0,2,0,0,0,1,5,3,0,5,0,0,0,5,0,0,0,1,1,6,0,1,0,0,0,1,4,0,1,0,0,3,6,0,0,2,1,1,0,1,1,3,1,0,1,0,0,1,0,0,2,0,0,2,0,2,0,3,2,0,2,0,0,0,0,0,0,0,1,4,1,1,3,4,3,0,7,2,0,14,3,5,2,9,7,1,6,0,1,0,0,0,0,0,19,8,0,5,1,1,7,10,6,7,3,8,0,2,0,5,3,0,0,7,4,0,4,1,6,2,3,2,3,1,10,3,0,0,9,2,4,2,5,2,3,2,12,11,2,1,0,4,3,7,2,3,0,4,1,5,0,3,2,0,16,2,1,5,1,1,1,3,8,4,1,4,4,5,1,0,2,2,0,4,0
heterolactic fermentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,4,11,1,6,2,5,2,1,1,1,7,3,8,0,2,11,6,3,6,1,2,1,8,4,6,3,4,5,10,1,1,10,10,7,1,4,7,0,21,15,4,7,5,5,2,7,3,0,5,2,16,4,1,5,4,1,16,2,8,1,1,1,1,7,8,10,4,1,5,5,4,3,5,4,2,4,5,8,3,1,2,0,4,8,4,4,7,7,4,5,2,4,4,43,2,27,7,0,2,19,15,1,3,5,13,11,5,12,3,6,2,3,8,8,4,6,7,0,8,6,7,2,7,7,8,1,14,20,10,1,9,4,4,18,22,21,13,12,2,31,5,4,6,2,2,8,27,3,22,0,3,20,18,7,4,5,5,14,3,13,1,4,7,1,3,12,3,4,11,15,9,10,3,8,5,2,5,7,3,8,4,1,6,3,15,10,23,6,13,9,16,12,5,73,11,18,47,0,11,3,10,2,0,6,1,6,6,7,4,7,0,1,2,5,2,4,2,3,4,21,3,4,0,1,6,3,9,8,4,5,4,4,3,2,1,11,3,1,0,7,5,1,4,1,0,7,6,11,1,4,0,0,5,1,0,3,3,3,0,11,0,8,8,6,0,0,2,9,1,4,6,2,1,2,5,2,14,3,59,1,5,0,10,4,0,7,5,9,1,8,11,2,4,4,7,1,2,1,3,1,10,1,0,6,9,0,7,7
"hexitol fermentation to lactate, formate, ethanol and acetate",0,0,4,0,7,3,10,0,19,5,1,0,0,0,0,0,3,0,0,0,1,0,0,5,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,6,12,0,1,13,0,5,7,2,3,4,1,20,12,23,19,1,6,6,4,29,3,17,4,9,5,9,5,7,5,6,18,4,2,26,0,2,5,5,9,4,0,7,12,5,3,2,10,0,5,7,2,12,0,9,9,6,20,28,9,3,8,1,1,4,10,6,7,10,8,4,9,29,18,4,10,6,27,1,16,3,0,1,4,14,9,8,3,7,20,1,2,2,7,1,1,1,7,4,2,0,6,2,11,3,7,2,16,0,1,0,2,20,3,1,0,3,19,1,7,0,12,0,0,0,3,5,4,0,4,0,1,2,5,4,1,18,1,2,5,4,18,24,5,5,2,3,11,5,28,7,4,8,7,16,2,1,3,2,0,4,2,7,1,1,1,0,1,0,7,2,17,25,1,3,1,5,5,6,6,2,0,5,2,7,0,4,11,0,0,0,16,1,9,0,1,3,5,1,35,1,4,0,3,6,16,3,9,7,4,7,5,1,3,3,15,7,7,9,20,12,6,7,23,7,4,5,2,1,9,20,9,3,10,19,5,9,18,4,12,5,1,19,3,6,12,4,10,5,11,9,6,2,7,16,9,1,1,7,11,4,2,0,5,6,4,1,9,7,5,8,26,12,10,2,3,1,8,17,0,15,55,2,16,1,9,1,2,1,1,18,2,11,11,29,11,4,3,8,2,19,1,5,37,24,8,17,6,4,14,4
homolactic fermentation,12,0,13,0,21,6,20,0,20,16,16,2,0,10,26,28,3,13,31,0,45,14,22,8,19,8,15,0,16,5,0,23,0,13,0,0,19,16,0,5,31,26,26,24,38,22,32,18,26,25,41,27,14,33,20,7,15,21,26,26,15,23,26,16,22,28,21,10,21,19,24,38,10,24,32,30,29,17,29,19,22,39,32,27,21,22,28,16,31,15,20,31,27,40,13,19,16,15,21,36,28,35,26,23,12,23,22,26,24,28,33,14,20,24,23,32,8,30,22,33,36,13,29,34,23,26,31,22,18,23,21,26,19,18,13,28,11,17,33,14,11,29,40,29,28,29,26,34,40,26,40,19,35,32,27,29,24,29,30,33,12,25,26,36,20,19,12,28,6,33,40,50,17,34,23,22,40,34,37,30,25,17,36,27,21,27,12,16,26,42,14,21,18,23,40,30,32,20,19,30,36,25,38,11,28,21,27,30,27,26,31,31,48,22,36,20,21,32,11,26,36,24,34,16,17,30,23,40,33,26,21,40,36,31,34,39,17,24,38,31,16,36,20,27,38,17,26,26,33,20,16,15,29,29,13,20,29,26,23,23,17,29,29,21,29,26,13,19,16,28,20,37,24,27,12,28,26,26,28,25,31,15,23,20,22,22,27,15,27,32,31,19,20,11,28,20,22,21,23,23,21,26,27,17,29,25,33,16,21,14,36,30,22,33,22,13,18,24,13,42,23,44,22,17,24,31,31,19,23,21,27,18,21,24,16,16,27,45,22,24,6,14,27,38,15,25,33,29,29,26,25
